url,name,headline,location,about,experience,education
https://www.linkedin.com/in/williamhgates/,Bill Gates,"Chair, Gates Foundation and Founder, Breakthrough Energy","Seattle, Washington, United States",Bill has a {:badgeType} account,N/A,N/A
https://www.linkedin.com/in/rbranson/,Richard Branson,Founder at Virgin Group,,Richard has a {:badgeType} account,N/A,N/A
https://www.linkedin.com/in/satyanadella/,Satya Nadella,Chairman and CEO at Microsoft,"Redmond, Washington, United States",Satya has a {:badgeType} account,N/A,N/A
https://www.linkedin.com/in/jeffweiner08/,Jeff Weiner,Executive Chairman at LinkedIn / Founding Partner Next Play Ventures,United States,Jeff has a {:badgeType} account,N/A,N/A
https://www.linkedin.com/in/ariannahuffington/,Arianna Huffington,Founder and CEO at Thrive Global | Passionate about Health and AI,"New York, New York, United States",Arianna has a {:badgeType} account,N/A,N/A
https://www.linkedin.com/in/simonsinek/,Simon Sinek,"Optimist, New York Times bestselling author of ""Start with Why"" and ""The Infinite Game"", and founder of The Optimism Company","New York, New York, United States",Simon has a {:badgeType} account,N/A,N/A
https://www.linkedin.com/in/markcuban/,N/A,N/A,N/A,N/A,N/A,N/A
https://www.linkedin.com/in/tonyrobbins/,Tony Robbins,"Sr. Manager, Sales Engineering at Splunk","Pacifica, California, United States",Tony has a {:badgeType} account,N/A,N/A
https://www.linkedin.com/in/jack-welch/,Jack Welch,Ad Monetization at Zynga,"San Francisco, California, United States",N/A,N/A,N/A
https://www.linkedin.com/in/melindafrenchgates/,N/A,N/A,N/A,N/A,N/A,N/A
https://www.linkedin.com/in/derekshen/,Derek Shen,Tech Executive | Startup Founder | Angel Investor | Strategic Advisor,United States,N/A,N/A,N/A
https://www.linkedin.com/in/danielgoleman/,Daniel Goleman,Director of Daniel Goleman Emotional Intelligence Online Courses and Senior Consultant at Goleman Consulting Group,"Northampton, Massachusetts, United States",Daniel has a {:badgeType} account,N/A,N/A
https://www.linkedin.com/in/garyvaynerchuk/,Gary Vaynerchuk,"Chairman – VaynerX, CEO – VaynerMedia, Creator – VeeFriends","New York, New York, United States",Gary has a {:badgeType} account,N/A,N/A
https://www.linkedin.com/in/deepakchopra/,Deepak Chopra MD (official),Founder at Deepak Chopra LLC,"New York, New York, United States",Deepak has a {:badgeType} account,N/A,N/A
https://www.linkedin.com/in/thomas-lam/,Thomas Lam,Senior Executive | Board Member | Certified Practising Accountant (CPA) | Expertise in Finance and Technology Management | Programme and Project Management Specialist | AI Advocate | Start-up Advisor,"Melbourne, Victoria, Australia",Thomas has a {:badgeType} account,N/A,N/A
https://www.linkedin.com/in/peterthiel/,Peter Thiel,"Global Finance, Venture Capital, Media Commentary - Clarium Capital","San Francisco, California, United States",N/A,N/A,N/A
https://www.linkedin.com/in/adamgrant/,Adam G.,"Automation Engineer | Machine Learning, AI","San Francisco, California, United States",Adam has a {:badgeType} account,N/A,N/A
https://www.linkedin.com/in/brenebrown/,Brené Brown,University of Houston + University of Texas at Austin | Researcher. Storyteller. Courage-builder.,"Houston, Texas, United States",Brené has a {:badgeType} account,N/A,N/A
https://www.linkedin.com/in/narendramodi/,Narendra Modi,Prime Minister of India,"Delhi, India",Narendra has a {:badgeType} account,N/A,N/A
https://www.linkedin.com/in/kevinolearytv/,Kevin O'Leary,"Chairman, O’Leary Ventures and Beanstox","West Palm Beach, Florida, United States",Kevin has a {:badgeType} account,N/A,N/A
